                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.7745,                 1.0372,                  1.171,                0.61128,                0.63001,                0.65916,                0.31071,                 1.8268,                 1.1155,                 1.2234,             0.00050704,             0.00050704,             0.00050704
                    137,                 1.7527,                  1.118,                 1.2651,                0.61128,                0.63001,                0.65916,                0.31071,                 1.8268,                 1.1155,                 1.2234,             0.00050404,             0.00050404,             0.00050404
                    138,                 1.7356,                  1.112,                 1.2544,                 0.5696,                0.61187,                0.61718,                0.29128,                 1.8337,                 1.1921,                 1.2276,             0.00050104,             0.00050104,             0.00050104
                    139,                 1.8687,                 1.0974,                 1.2804,                0.54001,                0.62038,                0.60081,                0.28991,                 1.8361,                 1.2057,                   1.22,             0.00049804,             0.00049804,             0.00049804
                    140,                 1.7924,                 1.0945,                 1.2122,                0.58316,                0.65003,                0.64794,                0.31753,                 1.8182,                 1.1086,                 1.2023,             0.00049504,             0.00049504,             0.00049504
                    141,                 1.6965,                 1.0472,                 1.2094,                0.58316,                0.65003,                0.64794,                0.31753,                 1.8182,                 1.1086,                 1.2023,             0.00049204,             0.00049204,             0.00049204
                    142,                 1.8629,                  1.132,                  1.265,                0.66515,                0.66496,                0.70604,                0.35154,                 1.7814,                 1.0195,                 1.1944,             0.00048904,             0.00048904,             0.00048904
                    143,                 1.7359,                  1.067,                 1.2243,                0.67776,                0.67977,                0.71786,                0.34286,                 1.8838,                0.99052,                 1.2108,             0.00048604,             0.00048604,             0.00048604
                    144,                  1.768,                 1.0403,                 1.1838,                0.67548,                0.66383,                0.71004,                0.32618,                 1.9701,                 1.0001,                  1.224,             0.00048304,             0.00048304,             0.00048304
                    145,                 1.7214,                  1.054,                 1.2749,                0.67548,                0.66383,                0.71004,                0.32618,                 1.9701,                 1.0001,                  1.224,             0.00048004,             0.00048004,             0.00048004
                    146,                 1.6719,                 1.0066,                 1.2175,                0.73703,                0.62738,                0.74217,                0.34121,                 2.0519,                 1.1559,                  1.236,             0.00047704,             0.00047704,             0.00047704
                    147,                 1.7772,                 1.0921,                 1.1958,                 0.6471,                0.59524,                 0.6525,                0.30385,                  1.994,                 1.3309,                 1.2219,             0.00047404,             0.00047404,             0.00047404
                    148,                 1.8202,                 1.0812,                 1.2053,                0.67235,                0.60914,                0.67214,                0.34564,                 1.7945,                 1.2627,                 1.1837,             0.00047104,             0.00047104,             0.00047104
                    149,                 1.7567,                 1.0754,                 1.2057,                0.67235,                0.60914,                0.67214,                0.34564,                 1.7945,                 1.2627,                 1.1837,             0.00046804,             0.00046804,             0.00046804
                    150,                 1.7191,                 1.1218,                 1.2387,                0.68154,                 0.6269,                  0.679,                0.34709,                 1.7857,                 1.2563,                 1.1849,             0.00046504,             0.00046504,             0.00046504
